Timestamp,RSSI,Signal Quality (%),Data Throughput (Mbps),Latency_Before,Network Type,BB60C Measurement (dBm),srsRAN Measurement (dBm),Noise_Floor,Channel_Utilization,Interference_Status,Channel,Decision
2025-05-05 16:10:21.451,-90.4215677017493,0,9.11396266657162,95.0350932005629,4G,-91.2043584330147,-99.037428715574,-89.8674657301891,32.08,Moderate,6,1
2025-05-05 16:13:28.661,-82.8766831481334,0,9.09524930890758,72.2652627501332,4G,-82.7285096088365,-91.0805163011346,-82.3189780395238,28.98,Moderate,6,1
2025-05-05 16:19:43.082,-88.8315653931198,0,50.6979125455091,47.3550007011162,5G,-90.6700043433523,-96.2953913496778,-91.5821282388174,53.52,High,149,1
2025-05-05 16:29:04.712,-88.5512173581231,0,20.8188149833547,31.7795639184339,5G,-93.4936307531419,-96.9282882086217,-89.3524481488947,34.87,Moderate,149,1
2025-05-05 16:32:11.922,-91.0455996998204,0,6.35427314340811,51.2821032903217,4G,-92.6331214235589,-99.1446216058912,-91.652663014439,24.42,Low,6,0
2025-05-05 16:38:26.343,-90.3809803129014,0,4.29659912583186,95.8876244585688,4G,-91.1357060609377,-99.9457854999631,-88.4864884518757,43.23,Moderate,6,1
2025-05-05 16:41:33.553,-93.4290976789669,0,8.12370647309944,92.5587130426385,4G,-91.7148509836607,-99.3814478001246,-91.8291608677644,22.79,Low,6,0
2025-05-05 16:54:02.393,-88.2992846309012,0,7.25940488861853,75.3419215910241,4G,-91.7062444247114,-97.9837394655054,-90.5933904600598,37.09,Moderate,6,1
2025-05-05 16:57:09.604,-88.6573680414044,0,6.96602753519993,69.5521381529087,4G,-88.6458380495843,-96.6714741542583,-88.4189723288447,15.4,Low,6,0
2025-05-05 17:09:38.444,-84.6068797362944,0,4.81869246121524,88.0144911561067,4G,-88.2357826790044,-91.9303290790314,-86.3156685041909,21.72,Low,6,0
2025-05-05 17:12:45.655,-101.859505714656,0,51.3502091565388,41.4006617534822,5G,-97.9386588252544,-107.082832282137,-100.138085397125,36.97,Moderate,44,1
2025-05-05 17:19:00.075,-100.383304672621,0,59.4654439347032,43.2213782561936,5G,-104.696176347438,-108.261820243197,-102.887598691866,42.38,Moderate,44,1
2025-05-05 17:25:14.495,-88.7834953173207,0,8.92560037083194,95.9463266819777,4G,-91.2610851155871,-95.0082856735893,-89.0202583336759,36.71,Moderate,6,1
2025-05-05 17:28:21.705,-93.6705076009307,0,53.9554717058445,16.027044308395,5G,-95.2466712405952,-101.603425354454,-92.1213975344715,33.84,Moderate,149,1
2025-05-05 17:34:36.126,-93.0266423508851,0,52.3287148691607,30.0820085395378,5G,-96.7795017817712,-101.099762935648,-92.1664512714144,31.99,Moderate,149,1
2025-05-05 17:40:50.546,-96.584108806459,0,99.8512760253654,47.3245332537423,5G,-95.158456811107,-104.477868539988,-95.7670446182096,20.21,Low,149,0
2025-05-05 17:43:57.756,-89.4364550123551,0,5.09107901512141,97.033962255767,4G,-91.8434874236974,-97.2881709486605,-87.2000735094475,27.8,Moderate,6,1
2025-05-05 17:50:12.177,-95.7541781030328,0,75.920385865428,31.9328233490569,5G,-99.4742960176969,-101.343500031622,-96.3934910236512,30.39,Moderate,149,1
2025-05-05 17:53:19.387,-90.9479966842406,0,3.62188171561295,84.1877052788521,4G,-90.4969414016336,-96.0454125742351,-92.5835397090723,45.57,Moderate,6,1
2025-05-05 17:56:26.597,-98.5538005177459,0,56.1252383893298,42.2561446893135,5G,-98.9614017417763,-108.294017629974,-96.8361313214417,38.44,Moderate,48,1
2025-05-05 18:05:48.227,-88.0662980475416,0,5.9924278154443,58.1116702891239,4G,-92.940222847784,-95.2675196293496,-87.9019003148055,17.37,Low,6,0
2025-05-05 18:12:02.648,-95.1143403114944,0,71.7694477017487,12.7856459264962,5G,-98.3655259397348,-100.835654016965,-96.7512629693533,38.24,Moderate,149,1
2025-05-05 18:15:09.858,-93.6365110323503,0,60.4396567882396,14.4395787685392,5G,-94.165955594286,-101.33471967634,-91.4491293752143,31.15,Moderate,149,1
2025-05-05 18:18:17.068,-87.3984728451149,0,8.08669694449226,65.2375547693066,4G,-84.1045261965264,-95.9908668530402,-85.1619498077181,28.23,Moderate,6,1
2025-05-05 18:24:31.489,-89.1421966641134,0,9.15285230197587,78.5886176024161,4G,-88.967733146563,-96.9900596125084,-90.2405171373667,41.12,Moderate,6,1
2025-05-05 18:49:29.170,-91.3824380587868,0,6.39912789761578,51.3768359934732,4G,-91.3278868796823,-96.5623510231982,-92.0771977808719,45.31,Moderate,6,1
2025-05-05 18:52:36.380,-96.1586660770932,0,5.38270972978154,77.0703803673792,4G,-99.6172156453084,-103.390108650303,-95.9084372026332,44.31,Moderate,1,1
2025-05-05 19:01:58.011,-86.5073222772261,0,6.19185493031955,72.1727918190952,4G,-85.4861524236783,-93.5502884801137,-84.6677862232684,26.61,Moderate,6,1
2025-05-05 19:26:55.692,-89.441407162379,0,21.3151842093003,39.483862017282,5G,-84.6954890490257,-99.1804140171542,-88.3482438786193,31.91,Moderate,149,1
2025-05-05 19:30:02.902,-107.811668293976,0,57.7843910570884,33.8052669962272,5G,-112.712430082698,-115.491192496709,-105.030672848651,38.31,Moderate,40,1
2025-05-05 19:42:31.743,-94.3563204645912,0,9.70553884739739,76.482986197281,4G,-96.9373875234623,-101.853302608817,-93.2785984681805,44.76,Moderate,1,1
2025-05-05 19:55:00.584,-94.8446877171231,0,4.34115062014378,95.9119543337718,4G,-98.8266508876277,-102.314898178448,-96.519571019345,30.21,Moderate,1,1
2025-05-05 19:58:07.794,-91.3461794046673,0,95.1810861835365,45.7023290994589,5G,-92.1516994650942,-97.4443518896329,-91.4881650048608,33.14,Moderate,153,1
2025-05-05 20:07:29.424,-103.741908280704,0,66.5590642677099,29.2746991709846,5G,-105.124805732108,-108.995865146351,-102.948951285585,23.94,Low,48,0
2025-05-05 20:19:58.265,-82.7466241920689,0,5.32719310004098,52.8292828073357,4G,-84.0074137219407,-88.0243812785973,-81.8962178082775,23.04,Low,11,0
2025-05-05 20:26:12.685,-101.497906184637,0,11.3599615793027,48.6006147781788,5G,-103.988975727726,-108.117774744375,-100.258126965365,43.13,Moderate,40,1
2025-05-05 20:29:19.895,-86.6810703284833,0,7.7607831981288,70.4075845433349,4G,-91.5271214115702,-93.766440044462,-88.1624610934056,48.56,Moderate,6,1
2025-05-05 20:32:27.106,-94.7298963697625,0,49.4546482027685,49.850491460995,5G,-97.4381768576209,-101.995516540382,-93.7058432174686,34.28,Moderate,48,1
2025-05-05 20:35:34.316,-84.6133367086528,0,9.66043497123751,91.9245916921512,4G,-81.5624335236962,-90.498417683444,-82.0170736598562,45.04,Moderate,6,1
2025-05-05 20:51:10.367,-92.8383194189966,0,3.73741839136933,61.1180652374085,4G,-92.6460737111946,-99.7995560035184,-94.3662055339994,38.62,Moderate,6,1
2025-05-05 20:57:24.787,-96.3127811678371,0,74.3177147417851,45.2625381976302,5G,-93.9996159708041,-102.826404072567,-94.7969514034061,28.55,Moderate,149,1
2025-05-05 21:03:39.207,-87.6742699248095,0,5.65458576026314,91.5683853110985,4G,-84.2510148773102,-95.8080641429133,-86.8823378424324,38.61,Moderate,6,1
2025-05-05 21:09:53.628,-84.6131000220437,0,22.0285523269466,27.754367536852,5G,-85.1053371831801,-89.820610843705,-85.026578846304,50.38,High,149,1
2025-05-05 21:22:22.468,-96.572030057768,0,43.433734929349,34.7410823487274,5G,-95.2413035227728,-104.225603921139,-96.9136738837854,34.64,Moderate,48,1
2025-05-05 21:28:36.889,-93.92104470519,0,5.81321039923511,57.6845521422102,4G,-93.1949723763698,-102.53598208356,-91.3931996319121,50.65,High,1,1
2025-05-05 21:34:51.309,-90.7070966524631,0,4.87993517217549,55.048905340888,4G,-94.032185761522,-99.9707188347026,-87.8686358649893,8.8,Low,6,0
2025-05-05 21:44:12.940,-98.1577259932797,0,3.86262803001427,84.9265312604568,4G,-98.9962723168736,-105.588472320396,-95.7379379070254,43.22,Moderate,1,1
2025-05-05 21:50:27.360,-98.5752409148331,0,64.0253314475233,12.1405785165217,5G,-99.8099380369401,-107.414962216327,-99.9830202452212,35.87,Moderate,48,1
2025-05-05 21:53:34.570,-108.737524213626,0,63.721962149199,49.9823081300175,5G,-106.043035272805,-116.748195698539,-106.772205899981,32.01,Moderate,40,1
2025-05-05 21:56:41.780,-97.4986508807581,0,50.4134891137113,19.4991422700903,5G,-102.002507147369,-103.87565944652,-99.8290928810146,35.92,Moderate,48,1
2025-05-05 22:02:56.201,-83.741521035357,0,9.39051703342283,66.9885121149421,4G,-84.1853294709844,-90.3509518805859,-83.4833924501564,15.12,Low,11,0
2025-05-05 22:21:39.462,-99.256852251564,0,52.8036572639807,26.3099242001092,5G,-102.644664131812,-105.97480423406,-96.4299468073543,32.8,Moderate,48,1
2025-05-05 22:31:01.092,-83.2489709999713,0,37.7621453340535,32.9216880247606,5G,-84.9968590372092,-93.0526239287631,-84.6169793679052,38.57,Moderate,153,1
2025-05-05 22:34:08.302,-100.657329284297,0,3.18038719135045,80.176440325056,4G,-99.0622694677845,-107.217101498927,-102.935003811563,49.78,Moderate,1,1
2025-05-05 22:37:15.513,-91.8400686441052,0,3.53765208748496,61.7497138767345,4G,-88.538558814126,-97.0988109551548,-93.01245450946,29.82,Moderate,6,1
2025-05-05 22:43:29.933,-91.6132023915679,0,14.6164464083094,29.7014152285715,5G,-92.1921320447707,-99.9411964966241,-92.2457684996543,26.92,Moderate,149,1
2025-05-05 22:46:37.143,-93.1001367576949,0,4.35404740069537,82.0752240628126,4G,-95.5018553782919,-98.6697062136273,-90.7259970920952,29.98,Moderate,6,1
2025-05-05 22:59:05.984,-82.8728043649157,0,5.87962199988812,56.3193211202833,4G,-87.5943652891416,-89.7591429534516,-81.032258982181,44.15,Moderate,6,1
2025-05-05 23:02:13.194,-88.4947128918752,0,4.05481240900583,92.5797159652109,4G,-83.5801772134473,-94.860518736634,-86.7860948009253,38.29,Moderate,6,1
2025-05-05 23:05:20.404,-88.755136408194,0,3.94203386972875,54.720944883024,4G,-85.4399530770718,-94.1631486977862,-87.8564081276082,29.7,Moderate,6,1
2025-05-05 23:08:27.614,-87.9087982262121,0,44.9853713088892,19.6119649380146,5G,-91.9591454739284,-96.3342060032677,-90.3289292204856,40.13,Moderate,153,1
2025-05-05 23:11:34.824,-102.944092376601,0,76.4655290659466,36.6646833951748,5G,-106.74847239908,-110.080878111023,-104.403631398742,35.97,Moderate,48,1
2025-05-05 23:14:42.035,-90.3929290966276,0,68.6710779006214,43.2966873364101,5G,-85.6381988134873,-98.0221076152676,-92.9927658081949,44.69,Moderate,149,1
2025-05-05 23:17:49.245,-93.0156541174665,0,5.3611198552724,97.0788426366966,4G,-92.7185144563829,-99.3537118844788,-90.4710078219989,27.98,Moderate,6,1
2025-05-05 23:20:56.455,-95.0057339453773,0,19.5703567613404,14.5655987723852,5G,-90.5952513449935,-100.642458584497,-95.2932143645091,31.72,Moderate,48,1
2025-05-05 23:24:03.665,-92.8882719719825,0,5.8102324536233,66.904220468313,4G,-96.6200317464783,-100.929559719171,-94.9123070813496,31.08,Moderate,6,1
2025-05-05 23:30:18.085,-91.7611871484302,0,7.22333937348424,90.0842146595652,4G,-92.0660004949739,-99.6479069794854,-88.7873601468613,20.36,Low,6,0
2025-05-05 23:36:32.506,-101.777647497881,0,66.3085710484548,32.8643059793177,5G,-104.929263518411,-111.479712011115,-101.151491579592,37.96,Moderate,48,1
2025-05-05 23:45:54.136,-94.7384072608875,0,96.684312435856,14.5901439765534,5G,-94.8343220690324,-103.890886801557,-97.4325579987529,37.61,Moderate,153,1
2025-05-06 00:01:30.187,-96.5567571338801,0,65.0481777450993,21.8299025038008,5G,-98.9993201183971,-104.919652340212,-98.5690340544611,35.05,Moderate,149,1
2025-05-06 00:13:59.028,-91.1366203917151,0,5.37468462821685,53.121566363889,4G,-91.2748838506663,-100.59155231351,-92.6453814661506,32.65,Moderate,6,1
2025-05-06 00:17:06.238,-93.2068201705958,0,3.44579337251761,58.8563572099127,4G,-98.1554238947402,-100.979772565066,-95.701287906088,20.85,Low,6,0
2025-05-06 00:20:13.448,-100.299750394923,0,44.5057426952433,16.7311435403085,5G,-96.9353284702248,-107.555202236723,-102.164575640581,30.79,Moderate,48,1
2025-05-06 00:23:20.658,-96.9211900923183,0,72.5668719589059,35.1851337975437,5G,-93.2863440086272,-106.259750354063,-94.0556503302481,31.57,Moderate,149,1
2025-05-06 00:29:35.079,-102.045534638779,0,10.0204334396429,46.600061509901,5G,-98.6067405264706,-108.334073481345,-104.038647064903,26.98,Moderate,40,1
2025-05-06 00:32:42.289,-91.6345436501466,0,4.62909844240886,52.6915262454229,4G,-94.7357903591874,-101.439754418404,-92.2836782824436,33.39,Moderate,6,1
2025-05-06 00:38:56.709,-98.5509347472085,0,30.153212901693,24.5309118559559,5G,-99.164459744748,-103.663453456164,-96.7037408731046,39.04,Moderate,44,1
2025-05-06 00:42:03.919,-88.059994833907,0,6.81241609774995,53.8928259804384,4G,-83.5055129195264,-96.8251889989476,-85.9021227617914,53.86,High,6,1
2025-05-06 01:07:01.601,-90.6349669070774,0,7.08395063312904,73.2101974476063,4G,-89.4429237341559,-98.2334956131207,-89.6647438341894,36.75,Moderate,6,1
2025-05-06 01:13:16.021,-89.8946886642294,0,6.48077720613614,58.9208048281747,4G,-93.8131385184958,-95.6841543518118,-89.2098896071043,37.58,Moderate,6,1
2025-05-06 01:16:23.231,-91.3327355842945,0,27.683827026059,18.4698344820967,5G,-95.9177623291955,-99.7223979083159,-90.9742676162925,34.26,Moderate,149,1
2025-05-06 01:25:44.862,-95.5305975778466,0,17.6862727146449,48.898455601116,5G,-95.3504932640856,-102.459666356251,-97.1109388816016,15.81,Low,48,0
2025-05-06 01:35:06.492,-102.081135278963,0,76.9091656560575,31.3130814960557,5G,-98.4744570610743,-108.606543380055,-105.017828544262,34.73,Moderate,48,1
2025-05-06 01:44:28.123,-95.6608467782218,0,44.8500827089186,21.3106182824039,5G,-97.6159425346815,-100.746112380448,-94.8041822973422,35.6,Moderate,48,1
2025-05-06 01:47:35.333,-89.7108841384628,0,9.4701669693679,61.5193319692944,4G,-91.8184451102661,-97.8641134880156,-88.7284277067105,59.63,High,6,1
2025-05-06 01:50:42.543,-94.8074817718259,0,77.529769823796,22.4286131324578,5G,-94.6625857487055,-100.52330502321,-95.0062131770873,33.08,Moderate,149,1
2025-05-06 01:53:49.753,-87.7970745969906,0,88.6612304177844,18.8285034377767,5G,-91.2125942250915,-97.4860491393621,-85.8608570666873,38.02,Moderate,157,1
2025-05-06 01:56:56.964,-95.3167405333795,0,9.23798064255456,73.0177686567413,4G,-93.2200270983342,-100.398182617333,-98.0156884314596,34.65,Moderate,1,1
2025-05-06 02:06:18.594,-91.9770382764874,0,33.2839852674071,23.8876867024884,5G,-89.0352148233156,-98.8509576513302,-89.35119959674,23.31,Low,149,0
2025-05-06 02:09:25.804,-92.0703442098651,0,5.06795425419635,54.527973380046,4G,-90.3903117024349,-101.403710128152,-89.9592686548317,46.43,Moderate,6,1
2025-05-06 02:12:33.014,-96.4912974365745,0,26.6867965336648,17.2825251552742,5G,-96.3626686428046,-102.267309530633,-99.0136669746195,42.52,Moderate,48,1
2025-05-06 02:28:09.065,-89.3564624680329,0,6.72035472397274,72.8981607244767,4G,-90.388569213887,-97.2004100437112,-88.9406748632241,42.91,Moderate,6,1
2025-05-06 02:37:30.696,-92.1841671952668,0,4.80235451544728,56.7830733580188,4G,-94.5836867927425,-100.258876916672,-89.52627049084,25.91,Moderate,6,1
2025-05-06 02:49:59.537,-93.3772961487322,0,8.74355252962476,88.0017450901586,4G,-97.8896329606008,-99.158652185181,-93.7490316932999,49.03,Moderate,1,1
2025-05-06 02:56:13.957,-88.0363386042933,0,7.32799514709603,89.0731044377354,4G,-86.0035663269688,-93.8640473400128,-90.6990551715341,20.98,Low,6,0
2025-05-06 02:59:21.167,-91.6753549004708,0,32.8041458946401,45.8030623664738,5G,-90.936063539241,-99.9214667854193,-89.6791924223743,40.87,Moderate,48,1
2025-05-06 03:02:28.377,-98.824858766893,0,28.5059338929406,34.5473275091497,5G,-101.593995421603,-106.096515442049,-97.7210079874021,56.9,High,44,1
2025-05-06 03:08:42.798,-85.702667980919,0,5.67983376337904,81.531764749154,4G,-86.4012406599507,-93.5138427059784,-86.8404426462703,25.09,Moderate,6,1
2025-05-06 03:18:04.428,-89.1621196654089,0,9.50134394843844,74.8371714002992,4G,-85.7326648408469,-96.9326865661098,-87.9106183908019,29.34,Moderate,6,1
2025-05-06 03:21:11.638,-93.9381362019278,0,4.74157944627203,95.5108327483322,4G,-97.3939786265357,-100.804283604841,-96.7653291186487,36.0,Moderate,1,1
2025-05-06 03:24:18.848,-86.6688039858184,0,4.01862110271197,93.8989191249829,4G,-88.9769065910854,-91.7575236811354,-87.3713859015949,29.97,Moderate,6,1
2025-05-06 03:27:26.059,-90.7663121123433,0,55.6650788576641,27.660156931247,5G,-94.4595858082106,-99.31131516452,-88.5525574822179,19.49,Low,153,0
2025-05-06 03:36:47.689,-98.9999654734752,0,73.2164829279581,21.9783089573701,5G,-101.311396344433,-104.010078195683,-96.8511319233152,35.69,Moderate,48,1
2025-05-06 03:43:02.109,-91.3858655250724,0,69.9352449472417,42.906298739217,5G,-96.2530534904866,-98.6757890326738,-91.6284876600393,24.38,Low,153,0
2025-05-06 03:49:16.530,-93.5508784172476,0,18.6976525748384,20.966561506892,5G,-95.3503111483947,-99.7351281285198,-91.7373833418369,39.74,Moderate,48,1
2025-05-06 03:58:38.160,-101.320030839736,0,60.7363391300859,18.1991693130364,5G,-98.900076928475,-111.058635323393,-99.2047749704838,25.81,Moderate,48,1
2025-05-06 04:01:45.371,-96.8917594129988,0,20.2281434827047,10.1567349980437,5G,-91.8971526024021,-102.880390927261,-95.1714213245976,50.5,High,44,1
2025-05-06 04:04:52.581,-94.2734097233713,0,52.4189614694561,49.2439049805403,5G,-91.8696267539611,-103.683379590274,-92.7341747200138,27.17,Moderate,149,1
2025-05-06 04:17:21.421,-92.5170916472503,0,60.9167823463811,10.6124234650762,5G,-89.7113643890409,-100.709055055123,-93.0785804012375,31.78,Moderate,153,1
2025-05-06 04:20:28.632,-94.5104313119568,0,76.6458569096486,40.2770738050805,5G,-93.4432692922567,-103.676494636038,-92.7259079883068,43.14,Moderate,149,1
2025-05-06 04:23:35.842,-93.5960502215372,0,4.09628970424855,98.7380040668097,4G,-90.1706679275508,-101.091667192089,-90.707521672005,22.69,Low,6,0
2025-05-06 04:26:43.052,-98.6488764158718,0,44.5552308013739,27.7776383068599,5G,-102.232703966005,-108.136394769925,-98.43608671793,37.27,Moderate,48,1
2025-05-06 04:29:50.262,-94.9259038421851,0,80.0118466073683,25.2945332424651,5G,-95.494630388956,-103.044951498337,-95.7218607505215,48.07,Moderate,149,1
2025-05-06 04:32:57.472,-95.5740112437953,0,52.0014840247777,12.1083915941375,5G,-100.198348948355,-101.988104008561,-95.3454432590686,18.93,Low,149,0
2025-05-06 04:36:04.682,-87.7329130952632,0,7.96815959360714,50.3678914812707,4G,-87.550855773438,-97.5452698076042,-87.3175318227146,36.85,Moderate,6,1
2025-05-06 04:39:11.893,-94.9300909201533,0,84.7182595911185,36.560489122704,5G,-96.5464122609012,-100.252475806359,-92.4568454926582,37.6,Moderate,149,1
2025-05-06 04:42:19.103,-95.0481960928653,0,7.54114597213013,86.3634235226217,4G,-93.7106552209619,-104.345659577322,-95.3904900283777,42.82,Moderate,1,1
2025-05-06 04:51:40.733,-97.283041111208,0,9.34657307866399,59.562106453806,4G,-96.1287519608788,-105.254468990303,-100.036546921474,22.63,Low,6,0
2025-05-06 04:57:55.154,-91.5541777146283,0,28.1057709059991,13.2025361011586,5G,-91.809645916183,-101.504331540955,-94.0455807880703,21.8,Low,149,0
2025-05-06 05:04:09.574,-90.1569458947949,0,3.60281277354461,77.9568328231484,4G,-90.1291114763281,-99.4347634740196,-90.5045486160865,40.22,Moderate,6,1
2025-05-06 05:07:16.784,-103.773943710611,0,70.882492914317,17.5973106492143,5G,-100.58647560677,-113.190498110932,-102.837935582693,37.97,Moderate,48,1
2025-05-06 05:13:31.204,-95.2064634350364,0,83.6733907335797,45.9840237905294,5G,-92.3871376371543,-104.229668630793,-97.6859716220281,37.5,Moderate,149,1
2025-05-06 05:16:38.415,-87.8740412474133,0,7.896695092818,70.6008869475828,4G,-91.4900653877321,-94.5452150460865,-87.7260074072996,38.46,Moderate,6,1
2025-05-06 05:22:52.835,-84.8156662036822,0,4.95400893255613,82.3182556061828,4G,-81.0825574711049,-94.6074460919823,-82.8318516155657,28.2,Moderate,6,1
2025-05-06 05:26:00.045,-97.3347113787691,0,16.5462635599476,41.6052549490443,5G,-100.156903361093,-103.949522304359,-95.5154386393045,37.32,Moderate,44,1
2025-05-06 05:32:14.466,-98.5209343831476,0,3.07709350834925,70.8318018706875,4G,-101.97084770898,-105.198681097681,-97.2681387937107,37.93,Moderate,1,1
2025-05-06 05:38:28.886,-103.734478456727,0,33.7869777496379,21.4896539189936,5G,-103.621087558766,-109.701049182909,-106.435290997762,27.86,Moderate,44,1
2025-05-06 05:47:50.516,-94.2667308132234,0,9.73537113394594,64.4962381316514,4G,-90.7372887793805,-102.328607687211,-95.3275653140791,53.66,High,1,1
2025-05-06 05:50:57.727,-89.8000558585732,0,5.16905954585939,75.3754547234665,4G,-90.787530026536,-95.5246639287248,-90.2085446716983,39.74,Moderate,6,1
2025-05-06 05:54:04.937,-93.3391007171735,0,4.8478286379688,71.3753778796324,4G,-91.0107173444494,-101.657560245104,-94.3674746802945,23.09,Low,6,0
2025-05-06 06:03:26.567,-98.1964290865702,0,13.5601755906351,26.1215503162852,5G,-96.7048894382615,-104.706076354553,-97.3675896714726,41.57,Moderate,44,1
2025-05-06 06:06:33.777,-87.4227759582387,0,22.2852710875224,19.1468300553841,5G,-83.5978249075574,-97.3221673489734,-85.9064131312829,25.25,Moderate,153,1
2025-05-06 06:09:40.988,-88.4730633241499,0,9.31980514925175,92.5214743839464,4G,-89.3297931839478,-97.9111330775386,-91.0192811411426,42.87,Moderate,6,1
2025-05-06 06:22:09.828,-88.4952924348415,0,75.6569279778794,10.8136432752871,5G,-91.4434210057934,-96.0598797132236,-86.2257776284474,46.59,Moderate,153,1
2025-05-06 06:25:17.038,-101.964045540942,0,93.2044854496647,30.8697290316365,5G,-106.829951002221,-111.866814248844,-99.1262757312301,26.79,Moderate,48,1
2025-05-06 06:34:38.669,-86.9254076481272,0,4.97867152378811,73.0434367634826,4G,-85.2123634124844,-96.1144907860878,-87.0067533252759,44.63,Moderate,6,1
2025-05-06 06:37:45.879,-81.6611483150759,0,8.3898153274462,55.1979687956194,4G,-77.0374951505306,-87.2100449623031,-83.0390567721024,39.13,Moderate,11,1
